Game_Date,Year,Game_Stage,HomeTeam_ID,HomeTeam_Abb,HomeTeam_Score,HomeTeam_Name,VisitorTeam_ID,VisitorTeam_Abb,VisitorTeam_Score,VisitorTeam_Name
1997-01-27,1996,Final,10,GSW,122.0,Golden State Warriors,15,MEM,97,Memphis Grizzlies
1997-01-28,1996,Final,20,NYK,109.0,New York Knicks,2,BOS,107,Boston Celtics
1997-01-29,1996,Final,4,CHA,95.0,Charlotte Hornets,12,IND,106,Indiana Pacers
1997-01-30,1996,Final,26,SAC,93.0,Sacramento Kings,5,CHI,111,Chicago Bulls
1997-01-31,1996,Final,23,PHI,95.0,Philadelphia 76ers,22,ORL,109,Orlando Magic
1997-02-01,1996,Final,13,LAC,110.0,LA Clippers,10,GSW,98,Golden State Warriors
1997-02-02,1996,Final,2,BOS,92.0,Boston Celtics,15,MEM,102,Memphis Grizzlies
1997-02-02,1996,Final,21,OKC,84.0,Oklahoma City Thunder,5,CHI,91,Chicago Bulls
1997-02-03,1996,Final,29,UTA,111.0,Utah Jazz,30,WAS,89,Washington Wizards
1997-02-04,1996,Final,22,ORL,111.0,Orlando Magic,12,IND,87,Indiana Pacers
1997-02-05,1996,Final,23,PHI,113.0,Philadelphia 76ers,27,SAS,97,San Antonio Spurs
1997-02-06,1996,Final,9,DET,96.0,Detroit Pistons,11,HOU,87,Houston Rockets
1991-01-30,1990,Final,9,DET,93.0,Detroit Pistons,6,CLE,84,Cleveland Cavaliers
1991-01-31,1990,Final,29,UTA,105.0,Utah Jazz,25,POR,91,Portland Trail Blazers
1991-02-01,1990,Final,4,CHA,92.0,Charlotte Hornets,2,BOS,91,Boston Celtics
1991-02-02,1990,Final,6,CLE,113.0,Cleveland Cavaliers,18,MIN,110,Minnesota Timberwolves
1991-04-06,1990,Final,11,HOU,97.0,Houston Rockets,29,UTA,88,Utah Jazz
1991-04-07,1990,Final,5,CHI,111.0,Chicago Bulls,23,PHI,114,Philadelphia 76ers
1991-04-08,1990,Final,1,ATL,105.0,Atlanta Hawks,30,WAS,94,Washington Wizards
1991-04-09,1990,Final,24,PHX,120.0,Phoenix Suns,10,GSW,106,Golden State Warriors
1991-12-17,1991,Final,11,HOU,100.0,Houston Rockets,30,WAS,97,Washington Wizards
1991-12-18,1991,Final,13,LAC,100.0,LA Clippers,10,GSW,104,Golden State Warriors
1991-12-20,1991,Final,3,BKN,98.0,Brooklyn Nets,5,CHI,115,Chicago Bulls
1991-12-21,1991,Final,6,CLE,120.0,Cleveland Cavaliers,4,CHA,111,Charlotte Hornets
1991-12-22,1991,Final,22,ORL,94.0,Orlando Magic,11,HOU,99,Houston Rockets
1991-12-23,1991,Final,11,HOU,85.0,Houston Rockets,7,DAL,105,Dallas Mavericks
1991-12-26,1991,Final,1,ATL,111.0,Atlanta Hawks,5,CHI,122,Chicago Bulls
1992-11-06,1992,Final,26,SAC,114.0,Sacramento Kings,27,SAS,106,San Antonio Spurs
1992-11-07,1992,Final,12,IND,87.0,Indiana Pacers,9,DET,89,Detroit Pistons
1992-11-10,1992,Final,22,ORL,108.0,Orlando Magic,4,CHA,112,Charlotte Hornets
1992-11-11,1992,Final,12,IND,120.0,Indiana Pacers,23,PHI,114,Philadelphia 76ers
1992-11-12,1992,Final,29,UTA,87.0,Utah Jazz,24,PHX,102,Phoenix Suns
1992-11-13,1992,Final,2,BOS,115.0,Boston Celtics,23,PHI,126,Philadelphia 76ers
1992-11-14,1992,Final,27,SAS,87.0,San Antonio Spurs,11,HOU,93,Houston Rockets
1992-11-14,1992,Final,18,MIN,101.0,Minnesota Timberwolves,24,PHX,108,Phoenix Suns
1992-11-15,1992,Final,26,SAC,109.0,Sacramento Kings,6,CLE,107,Cleveland Cavaliers
1992-11-17,1992,Final,27,SAS,106.0,San Antonio Spurs,6,CLE,95,Cleveland Cavaliers
1992-11-19,1992,Final,22,ORL,126.0,Orlando Magic,10,GSW,102,Golden State Warriors
1992-11-20,1992,Final,26,SAC,99.0,Sacramento Kings,25,POR,104,Portland Trail Blazers
1992-11-21,1992,Final,17,MIL,105.0,Milwaukee Bucks,12,IND,95,Indiana Pacers
1993-04-17,1992,Final,21,OKC,81.0,Oklahoma City Thunder,11,HOU,86,Houston Rockets
1993-04-18,1992,Final,14,LAL,115.0,Los Angeles Lakers,10,GSW,112,Golden State Warriors
1993-04-20,1992,Final,26,SAC,101.0,Sacramento Kings,29,UTA,85,Utah Jazz
1993-04-21,1992,Final,8,DEN,137.0,Denver Nuggets,7,DAL,112,Dallas Mavericks
1993-04-23,1992,Final,2,BOS,107.0,Boston Celtics,6,CLE,99,Cleveland Cavaliers
1993-04-23,1992,Final,16,MIA,121.0,Miami Heat,30,WAS,120,Washington Wizards
